title,price,condition,shipping,link
Dell Latitude Laptop Computer PC Intel i7 Up To 32GB RAM 1TB SSD Windows 11Opens in a new window or tab,$263.73,Not specified,See details,https://www.ebay.com/itm/286393092388?_skw=laptop&itmmeta=01KEHQ9K9Z3MPQQX55AWMQYXR9&hash=item42ae5bc924:g:L-wAAeSwATBpW-jQ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d6aXcsBLilrZYpd3zKnlKiwX0sXgrUos4QtRBk1rsLRRZ7j1W%2FA44Rr3HZYNjjhkcJUKQ0t3Qm6oqlzaWgGynTR2RGmbCbEfssuuK08HVEcoHlBdwXIzRNPzwDuz%2FMsITtYIZ7WuHemjIYnkbnbs%2B5ZRWu9sESLIWnxD1yFon0gReSgU9PAQKT%2BT%2B1Jgmn%2FJ2umNY0sT3lc%2Fo3v0JS5Pm9nsEReecrd4jQBCfmp%2BQqkQ%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
"Dell Latitude 14"" Laptop Computer Intel Up To 32GB RAM 1TB SSD Windows 11 ProOpens in a new window or tab",$210.98,Not specified,See details,https://www.ebay.com/itm/286601719329?_skw=laptop&itmmeta=01KEHQ9KA0QJ3WHQS02ZPRR7NM&hash=item42bacb2e21:g:mvQAAeSw~eVpVUHM&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dhGFRw68%2FE23Mp1GaNLtpTO44hYO9Bbf%2BsouxVbfQw2%2B4YErBQHYqn22g2SLer98ryRx8tV3T8mQtrbjqJLpCc8qQSSXeElaTqmDP11UJTxKqTPhfZVmo1EbNdJdkgdndtNzbRD0wfd359%2BbJ%2F7K5469KxYbZiOddnElKn1qyNV42FZvY8dUYOV5PueHuWewvtwGXp6EvPYELTAFYVfcPkrESXeMiZimdJQK2pan7Sgw%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11Opens in a new window or tab,$113.41,Not specified,See details,https://www.ebay.com/itm/254754472823?_skw=laptop&epid=15032171267&itmmeta=01KEHQ9KA0XWQMDAASM6PG8CY2&hash=item3b508cc377:g:BHAAAeSwnu5pAvdL&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cFOXFrEX1K2EXFWO8f5b0jNfd38JjffEQ%2BQHyhp07UzsQlvARwXdim3%2FMijkVHTEXoU0dWsDbhFmepVCp0LZUT%2FHeLh9H5zXBcpY0rMQUVL2E8PwyoOpPSp8tHCc%2FbrpxyxaI5HofTKvei5jh3W8MbMxPdf3zUw8ym8GI3P9yVDLinUM%2BKeqX%2BqmUEx688004iXVKqxNC4OzQkviA1bvawZ3CILypGU9uXd6nS1O37XA%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
"HP Laptop 14"" HD AMD Ryzen 3 3200U 4GB RAM 128GB SSD Windows 11 Pro PCOpens in a new window or tab",$125.30,Not specified,See details,https://www.ebay.com/itm/266791101115?_skw=laptop&itmmeta=01KEHQ9KA0WWKFPCYEG3XMERQT&hash=item3e1dfd22bb:g:OqQAAeSwzk9pYJjQ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e9szlWaw%2FpyUq7I60%2BZz7HD48ZtkXaSpReiHIVMYsomMxTA0glRQWSnXLs5OW9HG4lmenWprsT9wbBkxBUKabKF%2B8YX7n1sLrsRNbRLkpbo3oEmunXzbC5XuKUuJRFShsDD5n6bHm%2BqgHKGLKYhFpbFZ3i%2FewxlQmwWdSW0yfd8lCqB%2B5CZijDkJb65D4sBXgK9xfl7798saDMSGLJ4troveMp1BhqruuJN%2FqAW7qM2g%3D%3D%7Ctkp%3ABlBMUK61prf0Zg
"Acer Nitro V 16"" Laptop R5 16GB RAM 512GB SSD NVIDIA GeForce RTX5050 RefurbishedOpens in a new window or tab",$585.89,Not specified,See details,https://www.ebay.com/itm/267508911021?_skw=laptop&itmmeta=01KEHQ9KA0P5QP95RFN7Z5F0B3&hash=item3e48c60bad:g:iWQAAeSwPiNpO11H&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dzOQcLtJwPppBShmVtXnlOT2RXhFUB8yOvABF%2BxihG49cnPIu6NzY2ZBbjV7RegoNT2bH6xBbvpTIqBh%2FKcOxEeakk0hL0fANQxLsqQMkTFKzyw%2Bt6%2B37p49cLR1kSV5KYWUFYV82BiG7vI6AsceJUuUOyV8vyvWvy5nCP%2FgF11%2FIvv2vQ3n90GdwKK%2FRugGjAAikvIgpsCx%2Bk8ofXmBSnmmjCp8Maa5JCPJm1vd9BrQ%3D%3D%7Ctkp%3ABk9SR661prf0Zg
"ASUS VivoBook 16"" WUXGA Notebook Intel Core i7-13620H 16GB DDR4 RAM 512GB SSDOpens in a new window or tab",$439.99,Not specified,See details,https://www.ebay.com/itm/296584849936?_skw=laptop&itmmeta=01KEHQ9KA0FEGJMH0DHS7X7990&hash=item450dd5aa10:g:Gc4AAeSwQ~Fo3FLp&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d4rKwJpdktrFbWeHTUfP5IkhIrZrYw47L51my1A5TDVLVrtQZY2HgCX74XUa4jnxtlKnE%2FElzSROE87etUT5UInR7DSPmKjtM8Bn%2BmFtrv1Up0wNRPWAlR0R%2F0sOBamXGKQAqBhlVLyIb3%2Box1MJZTjFkB7QIcG8%2FYYJzR4Lh6zqrNW%2FpUyrscqnc%2Bn6lGbu97%2B0ABUzwIjfYpk0fvFo66ZKIQ089EHDO0k0KYiWPNwhljx3AVHJAsb%2FDo9%2BhvLfvFM9O6suO0UBCq8mUcAei4%7Ctkp%3ABk9SR661prf0Zg
"Acer Aspire 3 Laptop 15.6"" Intel i5-1135G7 12GB RAM 512GB SSD 2.4GHz RefurbishedOpens in a new window or tab",$232.49,Not specified,See details,https://www.ebay.com/itm/256271376657?_skw=laptop&epid=21063479949&itmmeta=01KEHQ9KA0TNG4VQ3N9TKXK0TB&hash=item3baaf6e111:g:ueMAAeSway5pJOJk&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dyDEAx5vtK2rPtwrasidG9mkmonGAGeduAKtLxlfJeXNV%2BoGiaXw%2FEmh1VHiiyGsi%2BURsgrvaUemi2s1p1xGCF2jzWcvkwBXcBUwy1kxeNpE%2Fa1pXVHejuiIu5V0lVTh%2BbgTnN6LRrMWvFhUivlye%2F6H2kJWjBZrwsTRk7ERxYm3NIEiCSZ2UTmCLlrv82KKEEluLqaU69%2Flp7ljiPNA7Boy4kK0YkNhdPicNXPnj01%2FOPM9Q6o1C7zHiX99jPQU0C5VjVMH%2BjTZ4BF2Sse%2B%2Bq%7Ctkp%3ABk9SR661prf0Zg
"Acer Swift Go 14"" Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD RefurbishedOpens in a new window or tab",$371.99,Not specified,See details,https://www.ebay.com/itm/276709583737?_skw=laptop&itmmeta=01KEHQ9KA073RYEC2A375HDYYP&hash=item406d2d2b79:g:m3YAAeSwJJZpOyMs&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1ce28PrwRxgT5jFLNQKijrnoWJKvxrsMM4FDYUobbWCooPRSokvbaeIu%2FErzPYgGRuzDQAOc2UuOqWINwWG98Tdnx6FdjzmAB%2FhFh1CfcxDf90YD6SHWjWZRBFa0RDa2r3%2BniKKEMRCSjh0bMGsYgvCX5mJ1AoUtty%2B3wMr%2F2Hz6ED2QMqI43TBax4%2B24jVKgOPHY4MqMQFyFrP%2Fb3Fhnm3mEDkr7TNUHPW%2BbM0dg6Wad5NJHSIx3rvzNSQhaElYrNa0I6Yu6nzcgSsAX9VqJPv%7Ctkp%3ABk9SR661prf0Zg
Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11Opens in a new window or tab,$134.03,Not specified,See details,https://www.ebay.com/itm/256245941032?_skw=laptop&itmmeta=01KEHQ9KA0RAY6X033NTXC92QA&hash=item3ba972c328:g:WhEAAeSwaZNot9lU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cXFJTJzyOnimAswxZKTBSO801OAeKNI%2FrEe46wvjwUWyOZGvC5GglX9NIOjz%2FFHLB%2FCSAsyGVZwn0BUoCitWyPJN9exUyVXX6KEc0soL2nPyjdQ0T3cUL3e2TiJm8rT%2FdEeI4wO%2Flthjh%2F82jRfl9Dd6Tk7aW4dRNEW9J7T65Z5%2B4ka9XJB%2BX3DSYY9YtEQysP48DMGDw0A1o3mFNt15TI9k0HaxaJkiHW12PwlNJ6jThHsyhOXoeayN03wEErhM5sw9e03wMAWNaRReteLibU%7Ctkp%3ABk9SR661prf0Zg
"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 512GB SSD, BusinessOpens in a new window or tab",$199.99,Not specified,See details,https://www.ebay.com/itm/389007675002?_skw=laptop&itmmeta=01KEHQ9KA0Q3MX84DQJDGMVMNA&hash=item5a92aa0e7a:g:ACsAAeSwAddo06a0&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fWUXj%2BZATrl3TaHFdtqy8S5sY%2BbRoroEMgMSnsIshg%2BZOlvv0jiudvhfWZOuTfLTLbLBsOn3khXuzydwCzyB9CSCYDBTR7%2B%2B8HrlY56TtokitxsIJfjyDXumUP3k5loY6Ul8ZjbHYtpyharVXSUJhimDuSutw1M6B8LBqFOqwAECvMhQ1jUJ5jdvyrdcONrBvTKdmUJBdVrHN0ny1X9ZVuFpAXT1WD7GOipwhpL6TE7Q%3D%3D%7Ctkp%3ABk9SR661prf0Zg
